"2074 Armory, INC",2074 Armory Drive,,Santa Rosa,CA,USA,95401,,,38.457671,-122.725388,
365 Recreational Cannabis,2750 Mendocino,,Santa Rosa,CA,USA,95403,(707) 999-9420,https://www.365recreational.com/santa-rosa/,38.4673733,-122.7202992,
ABIDE NAPA,1963 IROQUOIS ST,,Napa,CA,USA,94559,(707) 266-1967,https://abidenapa.com/shop/?,38.308211,-122.2896009,
AHHS Weho,7828 Santa Monica Blvd,,West Hollywood,CA,USA,90046,323) 654-8792,https://dutchie.com/stores/ahhs-west-hollywood,34.0905802,-118.3602341,
Airfield Supply Co.,1190 Coleman Ave.,,San Jose,CA,USA,95129,(408) 320-0230,airfieldsupplyco.com,37.3568208,-121.9318894,
Amuse,11116 Wright Rd,,Lynwood,CA,USA,90262,,https://amuse.com/shop,33.9259286,-118.1783066,delivery
Amuse,111 S. Hill Dr. Suite D,,Brisbane,CA,USA,94005,,https://amuse.com/shop,37.6872934,-122.4144286,delivery
Amuse,1859 Little Orchard St,,San Jose,CA,USA,95125,,https://amuse.com/shop,37.304567,-121.8723825,delivery
Apothecarium,2029 Market St,,San Francisco,CA,USA,94114,(415) 500-2620,https://apothecarium.com/shopping-page-castro/,37.7683932,-122.4274806,
Apothecarium,2414 Lombard St,,San Francisco,CA,USA,94123,(415) 408-6986,https://apothecarium.com/shopping-page-marina/,37.7993292,-122.4413761,
Apothecarium,527 Howard Street,,San Francisco,CA,USA,94105,(415) 741-0741,https://apothecarium.com/shopping-page-soma/,37.7878287,-122.3965293,
Apothecarium,2312 Telegraph Ave,,Berkeley,CA,USA,94704,(510) 558-2247,https://apothecarium.com/shopping-page-berkeley/,37.8682559,-122.2593336,
Apothecarium,1850 41st Ave,Suite 102&103,Capitola,CA,USA,95010,(831) 325-0691,https://apothecarium.com/shopping-page-capitola/,36.9765994,-121.9644856,
Ascent Mammoth,3399 Main St. Suite L1,,Mammoth Lakes,CA,USA,93546,(760) 709-5801,https://ascentmammoth.com/menu/,37.6474034,-118.9726499,
ASHE Society,3601 W Garry Ave,,Santa Ana,CA,USA,92704,(714) 836-5576,https://www.ashesociety.com/menu?,33.7060201,-117.9174398,
Atrium,5441 Topanga Canyon Blvd.,,Woodland Hills,CA,USA,91367,(818) 810-7379,https://atriumtopanga.com/products/,34.1698052,-118.6060702,
Atrium,12458 Magnolia Blvd,,Valley Village,CA,USA,91607,(818) 452-9262,https://weedmaps.com/dispensaries/atrium-valley-village,34.1646317,-118.404919,
Barbary Group,2165 Irving St,,San Francisco,CA,USA,94122,(415) 590-7720,https://sunsetpipeline.com/menu/,37.763273,-122.4811057,
Barbary Group,1276 Market Street,,San Francisco,CA,USA,94102,(415) 762-4255,https://moegreens.com/order-online/,37.777996,-122.4160147,
Barbary Group,952 Mission St.,,San Francisco,CA,USA,94103,(415) 243-4400,https://barbarycoastsf.com/online-menu/,37.7819282,-122.4078108,
BASA- Bay Area Safe Alternatives,1326 Grove St,,San Francisco,CA,USA,94117,(415) 409-1002,https://basasf.com/shop/,37.7760711,-122.4385393,
Berkeley Patients Group (BPG),2366 San Pablo Avenue,,Berkeley,CA,USA,94702,(510) 540-6013,https://mybpg.opptygo.com/customer/products,37.8632787,-122.2905755,
Beyond Hello/Jushi Brand,3516 State St,,Santa Barbara,CA,USA,93105,(805) 883-6444,https://beyond-hello.com/california-dispensaries/santa-barbara/menu/,34.4406897,-119.7389754,
Beyond Hello/Jushi Brand,4765 E. Ramon Rd.,,Palm Springs,CA,USA,92264,(760) 832-7813,https://beyond-hello.com/california-dispensaries/palm-springs/menu/,33.8155153,-116.4949331,
Big Sur Cannabotanicals,26352 Carmel Rancho Lane,Ste. 100,Carmel,CA,USA,93923,(831) 250-7756,https://www.bigsurcannabotanicals.com/menu/,36.5408756,-121.9066591,
BoRu Co,2511 Connie Dr,,Sacramento,CA,USA,95815,,,38.6115865,-121.4215332,
Boutiq (Primetime Cap),1423 Abbot Kinney Blvd,,Venice,CA,USA,90291,(424) 280-4052,https://boutiq.com/shop/,33.9906096,-118.4651592,
Calaveras Little Trees,2641 Highway 4,Suite #7-A (Upstairs),Arnold,CA,USA,95223,,https://www.calaveraslittletrees.com/shop/,38.2334721,-120.3670152,
California Street Cannabis Co,1398 California St,,San Francisco,CA,USA,94109,(415) 800-7954,https://californiastreetcannabis.com/menu/,37.7911857,-122.4172899,
CALMA WEHO,1155 N La Brea Ave,,West Hollywood,CA,USA,90038,(323) 498-0035,https://shop.calmawesthollywood.com/stores/calma,34.0923826,-118.3443165,
Calwave Enterprises Inc,533 Ocean St,,Santa Cruz,CA,USA,95060,(831) 515-4114,https://www.kindpeoples.com/ocean-st-menu,36.9757868,-122.0197459,
Cannablue,2179 Lake Tahoe Blvd,Unit A,South Lake Tahoe,CA,USA,96150,(530) 420-7777,https://cannablue.treez.io/onlinemenu/?customerType=ADULT,38.9173282,-119.9986671,
Cannaco Research Corp,8241 Lankershim Blvd,,North Hollywood,CA,USA,91605,,,34.2205572,-118.3885141,
CANNATRUST GROUP LLC,1932 SCOTT AVE,,Los Angeles,CA,USA,90026,(213) 632-8118,https://weedmaps.com/dispensaries/tree-of-echo-park,34.081577,-118.2598149,
Canopy Club,118 Milpas St. N,,Santa Barbara,CA,USA,93103,(805) 560-0034,https://canopysb.com/shop/?,34.4232667,-119.6806303,
Captain Jacks,100 W Hospitality Lane Suite 102,,san Bernardino,CA,USA,92408,(909) 381-3706,https://www.leafly.com/dispensary-info/captainjacks,34.0660917,-117.2857519,
Catalyst,9032 Artesia Blvd Bldg A,,Bellflower,CA,USA,90706,,,33.8743963,-118.1416404,
Catalyst,9032 Artesia Blvd,,Bellflower,CA,USA,90706,(562) 804-0629,https://catalyst-cannabis.com/bellflower-dispensary/bellflower-menu/?,33.8743963,-118.1416404,
Catalyst,2400 Pullman St Suite B,,Santa Ana,CA,USA,92705,(657) 229-4464,https://catalyst-cannabis.com/santa-ana-dispensary/santa-ana-menu/?,33.7150092,-117.8443761,
Catalyst,5227 E Second St,,Long Beach,CA,USA,90803,(562) 248-2474,https://catalyst-cannabis.com/belmont-shore-dispensary/catalyst-belmont-shore-menu/?,33.7602738,-118.1342348,
Catalyst,3170 CHERRY AVE,,Long Beach,CA,USA,90807,(562) 426-2420,https://catalyst-cannabis.com/cherry-dispensary/cherry-menu/?,33.8150537,-118.1666202,
Catalyst,433 PINE AVE,UNIT 500,Long Beach,CA,USA,94553,(562) 336-1373,https://catalyst-cannabis.com/marijuana-dispensary-in-downtown-long-beach/dtlb-menu/?,33.7723651,-118.1927618,
Catalyst,2115 10th St E,,Long Beach,CA,USA,90804,(562) 343-7082,https://catalyst-cannabis.com/eastside-dispensary/eastside-menu/?,33.7792632,-118.1662774,
CCA California Caregivers Alliance,2815 SUNSET BLVD Suite 201,,Los Angeles,CA,USA,90026,(213) 353-0100,https://cca2go.com/?#order-now,34.0823667,-118.2718943,
"Cloverdale Wellness, LLC",124 S Cloverdale Blvd,SUITE 140B,Cloverdale,CA,USA,95425,(707) 894-5683,https://www.cloverdalewellness.org/menu?,38.8046667,-123.0158436,
Coastal,1019 Chapala St,,Santa Barbara,CA,USA,93101,(805) 380-7730,https://coastalcalifornia.com/shop/?location=2400,34.4206182,-119.7041071,
Coastal,819 Reddick st. Suite C,,Santa Barbara,CA,USA,93103,,https://coastalcalifornia.com/shop/?location=2401,34.4254529,-119.6854136,
Coastal Wellness,1044 La Mirada Ct,Unit 4A,Vista,CA,USA,92081,(760) 734-7081,https://www.coastalwellnessdispensary.com/order-online,33.1534245,-117.2260552,
Cookies Corp,1004 B ST,,Hayward,CA,USA,94541,(510) 362-7040,https://cookies.co/stores/hayward?,37.673118,-122.082709,
Cookies Corp,1685 Haight St,,San Francisco,CA,USA,94117,(415) 214-9905,https://cookies.co/stores/berners-on-haight#menu,37.7694356,-122.4503232,
Cookies Corp,7935 El Cajon Blvd,,La Mesa,CA,USA,91942,(619) 737-1920,https://cookies.co/stores/la-mesa?,32.7691531,-117.0260082,
Cookies Corp,2625 CROW CT,,Antioch,CA,USA,94509,(925) 281-7035,https://cookies.co/stores/lemonnade-antioch#menu,38.0097146,-121.8415384,
Cookies Corp,1944 Orangeburg Ave W,,Modesto,CA,USA,95350,(209) 653-9450,https://cookies.co/stores/oklahoma-city?#menu,37.6641945,-121.027961,
Cookies Corp,44 DURIAN AVE E,,Coalinga,CA,USA,93210,(805) 472-7085,https://www.cookiescoalinga.com/?,36.140424,-120.3613519,
Cookies Corp,1776 BROADWAY,,Oakland,CA,USA,94612,(510) 409-8637,https://www.cookiesoakland.com/home,37.8075029,-122.2688174,
Cornerstone Research Collective,2551 Colorado Blvd.,,Los Angeles,CA,USA,90041,(323) 259-8933,https://cornerstone.treez.io/onlinemenu/,34.1421096,-118.2219836,
Culture,1034 W Ramsey St,SUITE A,Banning,CA,USA,92220,(951) 267-3521,https://culturecannabisclubbanning.treez.io/onlinemenu/,33.9250517,-116.8879515,
Culture,10810 LIMONITE AVE,,Jurupa Valley,CA,USA,91752,(951) 444-6144,https://culturecannabisclubmiraloma.treez.io/onlinemenu/,33.9750008,-117.521447,
Curbstone Exchange,6535 Highway 9,,Felton,CA,USA,95018,(831) 704-7151,https://weedmaps.com/dispensaries/curb-stone-exchange,37.0559563,-122.0754323,
Davis Cannabis Collective (DCC),2121 2nd St,Suite c101,Davis,CA,USA,95618,(530) 747-2057,https://daviscannabis.treez.io/onlinemenu/?customerType=ADULT,38.547539,-121.7235981,
"dba Mankind WILD WEST INDUSTRIES, INC.",7740 Formula Pl,,San Diego,CA,USA,92121,,https://mankindcannabis.com/shop-recreational/,32.8885077,-117.1536351,
DC Collective,8053 Deering Avenue,,Canoga Park,CA,USA,91304,(818) 887-0980,https://dccollective.com/shop/,34.2168956,-118.5953903,
Doobie Nights,3011 Santa Rosa Ave,,Santa Rosa,CA,USA,95407,(707) 919-3222,https://menu.doobienights.com/stores/doobie-nights,38.404339,-122.7141694,
Down Under Industries Inc,50 Ely Rd N,,Petaluma,CA,USA,94954,(707) 658-1707,https://downunderindustries.com/shop/#/,38.2820974,-122.6654921,
Dutchman's Flat,2544 3rd Street,,San Francisco,CA,USA,94107,(415) 872-6867,https://www.dutchmansflat.com/menu?,37.7573284,-122.3884304,
Eaze,2800 3rd St,,San Francisco,CA,USA,94107,,eaze.com,37.7537348,-122.388187,delivery
Elemental Wellness Center,985 Timothy Drive,,San Jose,CA,USA,95131,(408) 433-3344,https://elementalwellnesscenter.com/shop/,37.3636704,-121.8814318,
Embarc,3503 Alhambra Ave,,Martinez,CA,USA,94553,(925) 466-5444,https://goembarc.com/martinez/,37.9995336,-122.1317797,
Embarc,4035 Lake Tahoe Blvd,,South Lake Tahoe,CA,USA,96510,(530) 600-3040,https://goembarc.com/tahoe/,38.9559485,-119.9447595,
Embarc,1616 Webster St,,Alameda,CA,USA,94501,(510) 263-8043,https://goembarc.com/alameda/,37.7756794,-122.276399,
Emjay,345 N.Fairfax Ave,,Los Angeles,CA,USA,90036,,https://heyemjay.com/storefront,34.0775185,-118.3616982,delivery
Emjay,7180 UNIVERSITY AVE,,La Mesa,CA,USA,91942,(415) 853-6529,https://heyemjay.com/storefront,32.755336,-117.0434802,delivery
Emjay,11100 Wright Rd,,Lynwood,CA,USA,90262,415-853-6529,https://heyemjay.com/storefront,33.92653,-118.1785033,delivery
Emjay,1552 Yosemite Abe,#C,San Francisco,CA,USA,94124,415-853-6529,https://heyemjay.com/storefront,37.7266736,-122.3910103,delivery
Erba,12320 PICO BLVD,,Los Angeles,CA,USA,90064,(310) 207-1900,https://www.erbamarkets.com/pico-rec,34.0281261,-118.4522949,
"Euphoric Caregivers, Prop- 215",10655 W Pico Blvd.,,Los Angeles,CA,USA,90064,(310) 446-8100,https://www.leafly.com/dispensary-info/euphoric,34.0427561,-118.4237378,
Eureka Sky,3989 17th St,,San Francisco,CA,USA,94114,(415) 900-4567,https://www.eurekasky.com/express-order/,37.762401,-122.4348123,
Exhalence,10467 Roscoe Blvd,,Sun Valley,CA,USA,91352,(818) 394-9094,https://www.exhalence.la/shop-meadow/?,34.2220997,-118.3601198,
Farmhouse Artisan Market,1333 McDowell Blvd N,Suite F,Petaluma,CA,USA,94954,(707) 238-2194,https://www.farmhouse.delivery/,38.2718593,-122.6642282,
Fig and Thistle Apothecary,313 Ivy St.,,San Francisco,CA,USA,94102,(415) 589-7005,https://ftasf.com/menu/?,37.7772551,-122.4234607,
Firehaus,2000 Cotner Ave,,Los Angeles,CA,USA,90025,(323) 515-9333,https://www.firehausla.com/shop/marijuana-products/,34.0421246,-118.4415109,
Fireplace Management Incorporated,1041 F Street,,Arcata,CA,USA,95521,(707) 630-4024,https://www.thefireplacearcata.com/menu,40.8697443,-124.0845678,
